ID	genotipo	tratamiento	dia	t&d	replica	compartimento	choose	Genotype	Compartment
G3SEP27	INIAP-122	sequia	dia_7	sequia/dia_7	2	rizosfera	no	INIAP-122	Rhizosphere
G3SEP37	INIAP-122	sequia	dia_7	sequia/dia_7	3	rizosfera	no	INIAP-122	Rhizosphere
G3SEP47	INIAP-122	sequia	dia_7	sequia/dia_7	4	rizosfera	no	INIAP-122	Rhizosphere
SN3-1	INIAP-122	sequia	dia_7	sequia/dia_7	1	endosfera	no	INIAP-122	Root
SN3-2	INIAP-122	sequia	dia_7	sequia/dia_7	2	endosfera	no	INIAP-122	Root
SN3-3	INIAP-122	sequia	dia_7	sequia/dia_7	3	endosfera	no	INIAP-122	Root
SN3-4	INIAP-122	sequia	dia_7	sequia/dia_7	4	endosfera	no	INIAP-122	Root
G3SEP114	INIAP-122	sequia	dia_14	sequia/dia_14	1	rizosfera	no	INIAP-122	Rhizosphere
G3SEP2-14	INIAP-122	sequia	dia_14	sequia/dia_14	2	rizosfera	no	INIAP-122	Rhizosphere
G3SEP3-14	INIAP-122	sequia	dia_14	sequia/dia_14	3	rizosfera	no	INIAP-122	Rhizosphere
G3SEP4-14	INIAP-122	sequia	dia_14	sequia/dia_14	4	rizosfera	no	INIAP-122	Rhizosphere
S03-1	INIAP-122	sequia	dia_14	sequia/dia_14	1	endosfera	no	INIAP-122	Root
S03-2	INIAP-122	sequia	dia_14	sequia/dia_14	2	endosfera	no	INIAP-122	Root
S03-3	INIAP-122	sequia	dia_14	sequia/dia_14	3	endosfera	no	INIAP-122	Root
S03-4	INIAP-122	sequia	dia_14	sequia/dia_14	4	endosfera	no	INIAP-122	Root
RM1-1	pepa	riego	dia_0	riego/dia_0	1	endosfera	si	Pepa	Root
RM1-2	pepa	riego	dia_0	riego/dia_0	2	endosfera	si	Pepa	Root
RM1-3	pepa	riego	dia_0	riego/dia_0	3	endosfera	si	Pepa	Root
RM1-4	pepa	riego	dia_0	riego/dia_0	4	endosfera	si	Pepa	Root
RN1-1	pepa	riego	dia_7	riego/dia_7	1	endosfera	si	Pepa	Root
RN1-2	pepa	riego	dia_7	riego/dia_7	2	endosfera	si	Pepa	Root
RN1-3	pepa	riego	dia_7	riego/dia_7	3	endosfera	si	Pepa	Root
RN1-4	pepa	riego	dia_7	riego/dia_7	4	endosfera	si	Pepa	Root
R01-1	pepa	riego	dia_14	riego/dia_14	1	endosfera	si	Pepa	Root
R01-2	pepa	riego	dia_14	riego/dia_14	2	endosfera	si	Pepa	Root
R01-3	pepa	riego	dia_14	riego/dia_14	3	endosfera	si	Pepa	Root
R01-4	pepa	riego	dia_14	riego/dia_14	4	endosfera	si	Pepa	Root
SM1-1	pepa	sequia	dia_0	sequia/dia_0	1	endosfera	si	Pepa	Root
SM1-2	pepa	sequia	dia_0	sequia/dia_0	2	endosfera	si	Pepa	Root
SM1-3	pepa	sequia	dia_0	sequia/dia_0	3	endosfera	si	Pepa	Root
SM1-4	pepa	sequia	dia_0	sequia/dia_0	4	endosfera	si	Pepa	Root
SN1-1	pepa	sequia	dia_7	sequia/dia_7	1	endosfera	no	Pepa	Root
SN1-2	pepa	sequia	dia_7	sequia/dia_7	2	endosfera	no	Pepa	Root
SN1-3	pepa	sequia	dia_7	sequia/dia_7	3	endosfera	no	Pepa	Root
SN1-4	pepa	sequia	dia_7	sequia/dia_7	4	endosfera	no	Pepa	Root
S01-1	pepa	sequia	dia_14	sequia/dia_14	1	endosfera	no	Pepa	Root
S01-2	pepa	sequia	dia_14	sequia/dia_14	2	endosfera	no	Pepa	Root
S01-3	pepa	sequia	dia_14	sequia/dia_14	3	endosfera	no	Pepa	Root
S01-4	pepa	sequia	dia_14	sequia/dia_14	4	endosfera	no	Pepa	Root
G1BRP10	pepa	riego	dia_0	riego/dia_0	1	rizosfera	si	Pepa	Rhizosphere
G1BRP20	pepa	riego	dia_0	riego/dia_0	2	rizosfera	si	Pepa	Rhizosphere
G1BRP30	pepa	riego	dia_0	riego/dia_0	3	rizosfera	si	Pepa	Rhizosphere
G1BRP40	pepa	riego	dia_0	riego/dia_0	4	rizosfera	si	Pepa	Rhizosphere
G1BRP17	pepa	riego	dia_7	riego/dia_7	1	rizosfera	si	Pepa	Rhizosphere
G1BRP27	pepa	riego	dia_7	riego/dia_7	2	rizosfera	si	Pepa	Rhizosphere
G1BRP37	pepa	riego	dia_7	riego/dia_7	3	rizosfera	si	Pepa	Rhizosphere
G1BRP47	pepa	riego	dia_7	riego/dia_7	4	rizosfera	si	Pepa	Rhizosphere
G1BRP114	pepa	riego	dia_14	riego/dia_14	1	rizosfera	si	Pepa	Rhizosphere
G1BRP214	pepa	riego	dia_14	riego/dia_14	2	rizosfera	si	Pepa	Rhizosphere
G1BRP314	pepa	riego	dia_14	riego/dia_14	3	rizosfera	si	Pepa	Rhizosphere
G1BRP4	pepa	riego	dia_14	riego/dia_14	4	rizosfera	si	Pepa	Rhizosphere
G1SEP10	pepa	sequia	dia_0	sequia/dia_0	1	rizosfera	si	Pepa	Rhizosphere
G1SEP20	pepa	sequia	dia_0	sequia/dia_0	2	rizosfera	si	Pepa	Rhizosphere
G1SEP30	pepa	sequia	dia_0	sequia/dia_0	3	rizosfera	si	Pepa	Rhizosphere
G1SEP40	pepa	sequia	dia_0	sequia/dia_0	4	rizosfera	si	Pepa	Rhizosphere
G1SEP17	pepa	sequia	dia_7	sequia/dia_7	1	rizosfera	no	Pepa	Rhizosphere
G1SEP27	pepa	sequia	dia_7	sequia/dia_7	2	rizosfera	no	Pepa	Rhizosphere
G1SEP37	pepa	sequia	dia_7	sequia/dia_7	3	rizosfera	no	Pepa	Rhizosphere
G1SEP47	pepa	sequia	dia_7	sequia/dia_7	4	rizosfera	no	Pepa	Rhizosphere
G1SEP114	pepa	sequia	dia_14	sequia/dia_14	1	rizosfera	no	Pepa	Rhizosphere
G1SEP214	pepa	sequia	dia_14	sequia/dia_14	2	rizosfera	no	Pepa	Rhizosphere
G1SEP314	pepa	sequia	dia_14	sequia/dia_14	3	rizosfera	no	Pepa	Rhizosphere
G1SEP414	pepa	sequia	dia_14	sequia/dia_14	4	rizosfera	no	Pepa	Rhizosphere
